Missed Bytes: 0, First Time: 10.406942129135132, Final Time: 10.406942129135132, RSSI Avg: -45.97142857142857, SF: 7, BW: 500 bacterial_blight_1.jpg_3_5.jpeg
Missed Bytes: 0, First Time: 11.16064167022705, Final Time: 11.16064167022705, RSSI Avg: -45.73863636363637, SF: 7, BW: 500 bacterial_blight_1.jpg_2_3.jpeg
Missed Bytes: 0, First Time: 10.992320775985718, Final Time: 10.992320775985718, RSSI Avg: -45.66153846153846, SF: 7, BW: 500 bacterial_blight_1.jpg_2_4.jpeg
Missed Bytes: 0, First Time: 7.549309968948364, Final Time: 7.549309968948364, RSSI Avg: -47.59217877094972, SF: 7, BW: 500 bacterial_blight_1.jpg_3_6.jpeg
Missed Bytes: 0, First Time: 9.326668739318848, Final Time: 9.326668739318848, RSSI Avg: -46.14027149321267, SF: 7, BW: 500 bacterial_blight_1.jpg_3_4.jpeg
Missed Bytes: 0, First Time: 10.380232810974121, Final Time: 10.380232810974121, RSSI Avg: -46.10204081632653, SF: 7, BW: 500 bacterial_blight_1.jpg_3_5.jpeg
Missed Bytes: 0, First Time: 11.154396772384644, Final Time: 11.154396772384644, RSSI Avg: -45.90151515151515, SF: 7, BW: 500 bacterial_blight_1.jpg_2_3.jpeg
Missed Bytes: 0, First Time: 10.989890813827515, Final Time: 10.990890502929688, RSSI Avg: -46.434615384615384, SF: 7, BW: 500 bacterial_blight_1.jpg_2_4.jpeg
Missed Bytes: 0, First Time: 7.563161611557007, Final Time: 7.563161611557007, RSSI Avg: -47.78212290502793, SF: 7, BW: 500 bacterial_blight_1.jpg_3_6.jpeg
Missed Bytes: 64, First Time: 10.401118993759155, Final Time: 40.51543307304382, RSSI Avg: -45.46530612244898, SF: 7, BW: 500 bacterial_blight_1.jpg_3_5.jpeg
Missed Bytes: 0, First Time: 11.188425540924072, Final Time: 11.188425540924072, RSSI Avg: -44.84848484848485, SF: 7, BW: 500 bacterial_blight_1.jpg_2_3.jpeg
Missed Bytes: 128, First Time: 10.996975660324097, Final Time: 41.1747944355011, RSSI Avg: -45.04615384615385, SF: 7, BW: 500 bacterial_blight_1.jpg_2_4.jpeg
Missed Bytes: 64, First Time: 10.592811822891235, Final Time: 40.71965312957764, RSSI Avg: -45.29387755102041, SF: 7, BW: 500 bacterial_blight_1.jpg_3_5.jpeg
Missed Bytes: 0, First Time: 11.156945705413818, Final Time: 11.157970190048218, RSSI Avg: -45.36742424242424, SF: 7, BW: 500 bacterial_blight_1.jpg_2_3.jpeg
Missed Bytes: 0, First Time: 10.977602243423462, Final Time: 10.977602243423462, RSSI Avg: -45.74230769230769, SF: 7, BW: 500 bacterial_blight_1.jpg_2_4.jpeg
Missed Bytes: 0, First Time: 7.574708461761475, Final Time: 7.576713800430298, RSSI Avg: -47.79329608938548, SF: 7, BW: 500 bacterial_blight_1.jpg_3_6.jpeg
Missed Bytes: 0, First Time: 9.357616424560547, Final Time: 9.357616424560547, RSSI Avg: -46.723981900452486, SF: 7, BW: 500 bacterial_blight_1.jpg_3_4.jpeg
Missed Bytes: 64, First Time: 10.432076930999756, Final Time: 40.552473306655884, RSSI Avg: -51.775510204081634, SF: 7, BW: 500 bacterial_blight_1_3_5.jpeg
Missed Bytes: 64, First Time: 11.170795679092407, Final Time: 41.280662536621094, RSSI Avg: -51.140151515151516, SF: 7, BW: 500 bacterial_blight_1_2_3.jpeg
Missed Bytes: 0, First Time: 10.99813985824585, Final Time: 11.005126714706421, RSSI Avg: -50.25769230769231, SF: 7, BW: 500 bacterial_blight_1_2_4.jpeg
Missed Bytes: 0, First Time: 7.570342779159546, Final Time: 7.570342779159546, RSSI Avg: -52.07821229050279, SF: 7, BW: 500 bacterial_blight_1_3_6.jpeg
Missed Bytes: 0, First Time: 9.358110189437866, Final Time: 9.359451055526733, RSSI Avg: -50.95475113122172, SF: 7, BW: 500 bacterial_blight_1_3_4.jpeg
Missed Bytes: 0, First Time: 4.267817258834839, Final Time: 4.268815994262695, RSSI Avg: -58.55, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.931082248687744, Final Time: 3.931448459625244, RSSI Avg: -59.526881720430104, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 0, First Time: 2.573690891265869, Final Time: 2.5756916999816895, RSSI Avg: -63.19672131147541, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 64, First Time: 5.633836030960083, Final Time: 35.75795388221741, RSSI Avg: -54.142857142857146, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
